Parameter,Mean,Median,StdDev,SEM,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15,Frame16,Frame17,Frame18,Frame19,Frame20,Frame21,Frame22,Frame23,Frame24,Frame25,Frame26,Frame27,Frame28,Frame29,Frame30,Frame31,Frame32,Frame33,Frame34,Frame35,Frame36,Frame37,Frame38,Frame39,Frame40,Frame41,Frame42,Frame43,Frame44,Frame45,Frame46,Frame47,Frame48,Frame49,Frame50,Frame51
Ch1-Ch2 Shift,13.490196078431373,14.0,8.754545147857025,1.225881521526824,6.0,-10.0,4.0,-2.0,-10.0,-1.0,-3.0,2.0,1.0,-4.0,12.0,13.0,13.0,10.0,18.0,14.0,18.0,21.0,19.0,21.0,20.0,24.0,24.0,26.0,25.0,24.0,23.0,21.0,21.0,21.0,20.0,20.0,18.0,18.0,18.0,18.0,18.0,16.0,16.0,16.0,14.0,12.0,13.0,13.0,14.0,11.0,12.0,13.0,12.0,12.0,13.0
Ch 1 Peak Width,22.330251701252276,19.849821333234253,8.352721175328856,1.1696149109252028,5.6742379843701976,7.223812991601601,8.649480380786983,,35.59714397064839,13.325208271884865,19.434037672940995,12.139034415014265,25.232951174471957,29.338229383290773,36.923403385460986,19.25551718937581,53.42828931017252,28.39576522737744,28.82040501494582,29.395579451021796,36.27010668243867,23.00251517810262,17.546755215643188,19.648311206173503,17.433514875780574,19.55813932175758,25.789269196714734,24.89518079674157,21.658857537294892,21.755313101935187,24.608016105729178,23.781111680313487,17.122876544857817,13.751174823025679,15.886312958377914,17.007177823637377,17.524335094257097,18.92009780019778,17.015915640259976,18.639991667681855,19.247265737230222,19.7500671156713,16.843343330144776,18.967394711558214,16.519125125209,20.63280597860887,17.40893714804271,19.949575550797206,24.002726874995545,33.78795366174687,27.802116179538558,28.86114723218249,30.2637286423286,33.368114627790675,24.460214072483808
Ch 1 Peak Max,1490.9889714452258,1548.2508741258785,454.6037291296552,63.65725480251202,612.7191142191159,643.8245920745939,598.6016899766917,,791.3674242424264,815.0218531468554,839.1410256410279,850.7137237762261,1005.1955128205155,887.9746503496528,988.0617715617743,1101.281759906763,1067.6299533799563,1326.419580419584,1289.4300699300736,1399.871212121216,1336.41025641026,1418.7240675990715,1607.1095571095614,1582.7864219114263,1684.4723193473242,1513.7153263403306,1718.1925990676036,1654.8680069930115,1813.451923076928,1978.8283799533856,1858.6602564102614,1665.5836247086295,2015.393939393945,2280.6532634032696,2062.255827505833,2091.362762237768,2068.5405011655066,1973.003496503502,2084.3980186480244,2037.087121212127,1922.0935314685366,1903.1611305361357,2013.718822843828,1885.844405594411,1775.8505244755295,1698.273601398606,1926.8525641025694,1763.0576923076972,1476.6538461538503,1283.7887529137565,1321.8149766899803,1304.7703962704,1243.2601981352016,1166.342948717952,1201.2135780885815
Ch 1 Peak Min,481.2238267288277,472.40078671328797,63.92538585536172,8.951344467706885,430.06342268842354,406.72377622377735,422.7843822843829,,454.96241258741384,517.5058275058288,543.6168414918429,562.8069638694654,531.3097319347335,520.545454545455,611.0710955710972,579.1072261072267,482.49038461538487,443.08886946387065,591.4230769230769,549.2316433566434,541.1381118881118,591.0253496503512,599.797202797203,520.2071678321693,475.37150349650483,567.5303030303046,466.5352564102577,454.63986013986005,551.4973776223776,476.365384615385,456.6873543123543,506.32663170163187,469.4300699300711,496.0157342657358,519.4959207459221,480.65996503496626,487.5608974358988,449.6250000000002,544.5113636363651,436.09178321678564,465.9944638694651,458.404720279721,491.92045454545587,461.5043706293718,468.5987762237776,356.1678321678328,355.64860139860366,398.042540792542,432.2077505827499,401.0641025641037,412.94959207459317,403.5812937062948,390.063665501165,406.84644522144504,420.95337995338014
Ch 1 Peak Amp,1009.7651447163978,1025.8792249417293,463.1213836255179,64.84996499783084,182.65569153069237,237.1008158508165,175.81730769230876,,336.4050116550126,297.51602564102654,295.524184149185,287.9067599067606,473.8857808857821,367.4291958041979,376.9906759906771,522.1745337995363,585.1395687645714,883.3307109557134,698.0069930069967,850.6395687645727,795.2721445221482,827.6987179487203,1007.3123543123584,1062.579254079257,1209.1008158508193,946.185023310026,1251.657342657346,1200.2281468531514,1261.9545454545505,1502.4629953380006,1401.972902097907,1159.2569930069976,1545.9638694638738,1784.6375291375339,1542.759906759911,1610.7027972028018,1580.9796037296078,1523.3784965035018,1539.8866550116593,1600.9953379953413,1456.0990675990715,1444.7564102564147,1521.7983682983722,1424.3400349650392,1307.251748251752,1342.1057692307731,1571.2039627039658,1365.0151515151551,1044.4460955711004,882.7246503496528,908.8653846153871,901.1891025641052,853.1965326340365,759.4965034965069,780.2601981352013
Ch 1 Peak Rel Amp,2.1586881507518134,2.2169684386628785,1.0659722511173675,0.1492659713366154,0.4247180343514694,0.5829529270508269,0.4158557294437771,,0.739412756631577,0.5749037205531284,0.5436258805709193,0.5115550772991789,0.8919200089939151,0.7058542008114169,0.6169342302769987,0.9016888587448765,1.2127486628174216,1.9935745892794083,1.180216025114256,1.5487810636070911,1.4696287824698298,1.4004453758851194,1.6794215605119118,2.0426078681446955,2.543486109195667,1.6671973606658714,2.6828783579791757,2.6399536250163536,2.288233084434789,3.1540137966806334,3.0698745845697726,2.2895437854237235,3.2932783144764652,3.5979453994123323,2.9697247757878973,3.3510234144123676,3.2426300223090885,3.388108971928832,2.828015644573443,3.67123481709691,3.1247132326596816,3.151704915636158,3.0935862785062347,3.0862980409537837,2.7897037179360424,3.7681835584701213,4.4178550302887105,3.4293197626496785,2.4165371726047566,2.200956517190574,2.200911205770641,2.232980360135183,2.187326347194695,1.8667890857031224,1.8535548953701566
Ch 2 Peak Width,27.45874638849336,29.72125914736118,8.101169775509485,1.1343906693975594,14.710348372065575,4.590972191423166,14.290860138800465,10.579138203695711,8.743081491785972,15.23779866092137,6.103232778370558,,19.545632903954797,30.598326966908004,16.769550023346483,31.888731456045754,24.839744544001487,29.53437312823704,35.06453781911881,32.42346067186341,38.59266138584903,29.828738363363417,36.40651593422216,30.18837072222876,28.40687239718084,30.13993261976654,30.578460465443392,35.445564961686365,28.04298126709123,25.920602746702826,31.08374478379246,31.720343552993718,24.14436716394841,30.018831884487902,29.169172919128407,29.61377993135894,27.73236267067223,35.868209216002825,25.509411393935267,25.460285862228844,32.463582147519915,29.387767760101042,28.59493463105244,27.468117145030533,27.110793059605484,33.40470234431635,30.18092885620581,31.44554513582004,32.2435962440547,29.377220962957466,30.644959091198757,31.802621135098477,31.89429032930579,41.5234392627882,36.60382172699097
Ch 2 Peak Max,1783.0356080031133,1923.5492424242477,518.6122690214826,72.62024316433585,602.6480186480203,570.1193181818197,660.3465909090927,692.0637140637159,928.7785547785572,925.2339743589769,880.6761849261874,,955.2336829836856,1062.083916083919,1358.6217948717986,1359.2421328671367,1524.815850815855,1727.8586829836877,1645.1730769230812,1684.6319930069976,1724.341783216788,1853.7162004662055,1857.1943473193523,1866.3991841491893,1900.2109557109607,2005.6430652680706,1889.1057692307743,1949.0847902097958,1888.67686480187,2066.2555361305417,1938.4676573426627,2004.986305361311,2244.618881118887,2003.4696969697025,2305.102564102571,2225.8269230769292,2165.4353146853205,2054.4120046620105,2173.938519813526,2209.7094988345048,2273.1436480186544,2348.2112470862535,2326.185314685321,2357.489510489517,2279.0069930069994,2145.0221445221505,2312.483391608398,2229.237762237768,2226.3146853146914,2220.0795454545514,2125.3467365967426,2000.0378787878844,1908.6308275058327,1802.8962703962752,1693.5710955711002
Ch 2 Peak Min,561.149218142969,583.5486596736613,93.89702229817233,13.148213027366465,353.101689976691,391.03540209790316,380.59513403263503,394.5784770784772,647.0629370629348,609.708333333335,648.4122960372978,,622.8444055944059,583.5990675990693,554.5110722610738,648.171037296039,560.6538461538464,627.4487179487196,688.3111888111897,595.4143356643358,560.9277389277388,651.4300699300702,566.8123543123543,668.3680069930074,583.4982517482533,632.1101398601415,638.3551864801866,619.7977855477873,718.9583333333353,608.469405594406,660.1893939393958,636.7092074592092,710.016754079254,515.2403846153838,574.1791958041972,603.7884615384626,702.3056526806545,451.8764568764582,604.8374125874143,590.1503496503503,586.4388111888115,625.0061188811205,523.4274475524489,540.264277389278,485.6430652680665,428.3024475524476,414.989801864803,491.01194638694665,492.17832167832285,421.33041958042077,453.56002331002446,490.981934731936,550.0979020979023,415.1806526806538,535.579254079254
Ch 2 Peak Amp,1221.886389860144,1343.9099650349694,509.8686038303864,71.39588514148575,249.54632867132932,179.08391608391656,279.75145687645767,297.4852369852387,281.71561771562244,315.5256410256419,232.2638888888896,,332.38927738927975,478.48484848484964,804.1107226107248,711.0710955710977,964.1620046620085,1100.409965034968,956.8618881118915,1089.2176573426618,1163.4140442890491,1202.2861305361353,1290.381993006998,1198.031177156182,1316.7127039627073,1373.532925407929,1250.7505827505877,1329.2870046620085,1169.7185314685346,1457.7861305361357,1278.278263403267,1368.2770979021018,1534.6021270396332,1488.2293123543186,1730.9233682983736,1622.0384615384667,1463.129662004666,1602.5355477855524,1569.1011072261117,1619.5591491841544,1686.7048368298429,1723.205128205133,1802.757867132872,1817.2252331002392,1793.363927738933,1716.719696969703,1897.493589743595,1738.2258158508214,1734.1363636363685,1798.7491258741306,1671.7867132867182,1509.0559440559484,1358.5329254079304,1387.7156177156214,1157.9918414918461
