Parameter,Mean,Median,StdDev,SEM,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15,Frame16,Frame17,Frame18,Frame19,Frame20,Frame21,Frame22,Frame23,Frame24,Frame25,Frame26,Frame27,Frame28,Frame29,Frame30,Frame31,Frame32,Frame33,Frame34,Frame35,Frame36,Frame37,Frame38,Frame39,Frame40,Frame41,Frame42,Frame43,Frame44,Frame45,Frame46,Frame47,Frame48,Frame49,Frame50,Frame51
Ch1-Ch2 Shift,0.0784313725490196,4.0,15.112445380630668,2.1161656287458217,-18.0,-23.0,-27.0,0.0,-26.0,-26.0,0.0,-86.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0,9.0,10.0,10.0,10.0,9.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
Ch 1 Peak Width,35.73393790531498,37.273721719615224,10.567754471193824,1.4797816118910663,7.792981866027439,17.76708199041902,10.828769243421513,13.725677367974768,,15.843304339284053,15.43722947460678,16.369390615339036,33.56798227092118,36.96258829522784,38.78429678011045,40.47780629672119,43.85616276486225,45.72390188606329,41.81523872377829,41.31030030789272,44.84202806922242,45.605370187971616,45.47584554597786,45.89197790377297,53.60259678974208,51.085781312337055,51.46482318009107,45.168927822382,45.74274568080678,42.71114556790536,41.957404567776486,40.94709549783472,37.625621139078746,37.5848551440026,32.57093764963096,31.377343782755133,29.31844127009147,30.40597237690031,27.83783422340501,30.77627833282034,32.464553485768036,33.17755293057199,34.42886051312962,35.05441803443321,35.309449607999696,34.678032858894355,34.77034221034354,34.08719472582102,34.09963645407031,36.03117532774691,39.610327115899906,40.933108123278515,41.67327133907585,43.3501300494145,44.77310422214681
Ch 1 Peak Max,1267.6867220279755,1325.5405011655048,309.49694386161514,43.338240655695465,571.451777389279,541.6858974358988,546.7345571095586,661.7497086247104,,716.2811771561792,751.3088578088599,831.2191142191166,855.1092657342681,896.9583333333358,966.5944055944083,1053.875000000003,1123.6888111888143,1180.4251165501198,1254.8190559440595,1268.0034965035,1262.2855477855512,1266.9093822843856,1276.093531468535,1260.77680652681,1280.8962703962738,1344.930361305365,1360.228438228442,1384.9335664335704,1418.169289044293,1465.276515151519,1461.4291958042,1486.3400349650392,1529.408216783221,1554.2205710955755,1586.9155011655057,1575.3350815850858,1582.7500000000043,1580.0515734265778,1625.0253496503542,1621.920454545459,1621.951631701636,1608.0387529137574,1581.026223776228,1561.9350233100276,1537.9079254079297,1484.4932983683025,1481.1386946386988,1455.7150349650392,1419.4906759906798,1355.5110722610762,1306.1506410256447,1268.296911421915,1237.384032634036,1183.6553030303064,1137.8406177156207
Ch 1 Peak Min,578.5692832167841,585.0862470862487,44.10923277755806,6.176528018017004,484.7613636363645,474.0891608391621,477.3531468531481,528.6416083916091,,575.9708624708641,615.8123543123561,632.8251748251765,653.5442890442908,648.8741258741259,632.1550116550122,627.4895104895107,618.2097902097904,593.3959790209792,629.3994755244757,636.7744755244763,627.8286713286717,613.9991258741263,613.3680069930075,607.4012237762244,586.2229020979024,570.1713286713291,582.8881118881121,597.5000000000005,575.0174825174828,588.3076923076927,582.8304195804202,603.5157342657347,615.7386363636368,603.1687062937067,604.0725524475541,595.0885780885797,598.6334498834515,585.1966783216799,584.9758158508175,591.1835664335681,582.2587412587413,581.357517482518,580.1625874125879,580.1013986013991,545.199883449885,526.9259906759921,499.45833333333474,534.9932983682999,545.8581002331017,549.9006410256425,537.533799533801,533.6547202797217,529.189102564104,530.8828671328673,514.5821678321682
Ch 1 Peak Amp,689.1174388111915,771.6879370629399,304.2592210537154,42.60481276233934,86.69041375291448,67.59673659673672,69.38141025641056,133.10810023310125,,140.31031468531512,135.4965034965038,198.39393939394006,201.56497668997724,248.0842074592099,334.43939393939604,426.3854895104922,505.47902097902386,587.0291375291406,625.4195804195838,631.2290209790236,634.4568764568795,652.9102564102593,662.7255244755275,653.3755827505857,694.6733682983714,774.759032634036,777.3403263403299,787.4335664335699,843.1518065268102,876.9688228438264,878.5987762237797,882.8243006993044,913.6695804195841,951.0518648018688,982.8429487179516,980.2465034965062,984.1165501165528,994.8548951048979,1040.0495337995367,1030.736888111891,1039.6928904428946,1026.6812354312394,1000.8636363636402,981.8336247086286,992.7080419580448,957.5673076923104,981.680361305364,920.7217365967393,873.6325757575781,805.6104312354337,768.6168414918437,734.6421911421933,708.194930069932,652.7724358974391,623.2584498834525
Ch 1 Peak Rel Amp,1.1936947887789082,1.3485411656844175,0.5399028642450275,0.07560152281119903,0.17883111208083782,0.14258232876931215,0.14534608332173604,0.2517927043958616,,0.24360661941021855,0.22002888144036234,0.31350513109524775,0.30841823587003625,0.38233025107143104,0.5290464961494454,0.6795101469949111,0.8176496538618206,0.9892705011207811,0.9936766787077864,0.9912913366370641,1.0105573469815907,1.0633732669907905,1.0804696640838698,1.0756902639881725,1.1849986853334453,1.3588179441422596,1.3336012701002617,1.3178804459139235,1.466306385738759,1.4906635325535742,1.5074689767501896,1.4628024599447924,1.4838594274600598,1.5767592961607726,1.627027986515382,1.647227891089846,1.6439384573450606,1.7000351026565992,1.777935951568934,1.7435141073525018,1.7856200633334605,1.7660066388702245,1.725143361669178,1.6925206990981052,1.8208148462476605,1.8172709728435477,1.9654900034477911,1.720996766510702,1.6004756096584525,1.46501089675556,1.4298949055081918,1.376624553713535,1.3382643872265754,1.229597857287916,1.211193253176875
Ch 2 Peak Width,35.33770331467077,36.20824124656102,7.511549638282622,1.0518273358674957,7.153957604528842,16.49491066338794,10.12531882243753,,,,,19.694345624975753,37.4772452957824,37.35944279279947,35.233898277305244,33.481172224332795,33.44698284176432,34.511776169010474,36.20824124656102,37.167001416655076,37.15041307025176,35.690560285451554,33.75709841139545,33.656407831955455,35.1606603137472,39.320046255841476,39.99588880305833,40.90662099069443,42.879462792158705,35.67545941163895,34.53879709543799,36.73152105408394,41.6438129283037,44.98265794791138,48.37994732806909,39.877223773148536,37.46829403140103,38.42394196276612,36.76964830272476,36.09556243815777,35.47491645918542,37.14531905525172,36.291397932384626,34.28004086003661,34.49612250169854,35.23525837887833,36.11065636751269,34.84417808603939,35.102458347405886,35.58530187124104,36.46164669391632,38.783898316528465,40.34581066807644,41.30740242450909,41.94932981912322
Ch 2 Peak Max,1454.8194279125173,1540.290209790214,321.98776621988947,45.08730563383779,583.903263403265,552.1596736596753,547.9667832167847,,,,,818.3178904428927,874.1655011655035,978.1086829836856,1070.7275641025672,1202.0684731934764,1309.9382284382318,1390.3479020979057,1408.6576340326378,1438.5725524475563,1446.712121212125,1490.60926573427,1537.4108391608434,1540.290209790214,1533.5932400932443,1532.9023892773935,1513.8548951048992,1519.662004662009,1546.5166083916129,1585.2398018648064,1613.5847902097946,1639.3429487179533,1614.2604895104942,1617.0087412587457,1578.498251748256,1621.0084498834544,1624.1381118881163,1618.9527972028015,1663.307109557114,1694.2995337995383,1732.7304778554826,1744.6459790209838,1759.4096736596784,1773.041958041963,1780.472027972033,1761.220571095576,1737.0929487179533,1747.629079254084,1731.1911421911468,1670.053904428909,1620.7170745920794,1497.088286713291,1421.9991258741297,1357.5186480186517,1335.57546620047
Ch 2 Peak Min,612.820976747839,635.7660256410275,57.59485890160805,8.064893386232509,482.68706293706373,471.10839160839294,474.21076146076274,,,,,667.7103729603748,679.8656759906779,658.6695804195808,645.4452214452217,644.3916083916084,636.5655594405597,635.2159090909095,651.6818181818186,657.9458041958045,651.7639860139861,656.198426573427,661.7500000000001,654.7534965034965,630.5166083916088,603.9536713286719,608.6177156177156,617.9073426573431,625.419871794872,652.8688811188816,652.166083916084,667.3697552447557,679.9632867132867,673.1022727272727,668.1413170163189,660.1054778554796,657.4944638694657,635.7660256410275,633.4117132867136,641.1905594405596,643.2910839160841,641.5795454545473,627.3138111888111,626.943181818182,568.9539627039642,539.7832167832182,502.63869463869605,555.5116550116566,555.6841491841496,562.5174825174831,557.8327505827506,554.6016899766903,550.9262820512823,540.2029428904432,536.8467365967366
Ch 2 Peak Amp,841.9984511646779,921.0967365967408,310.1117758535563,43.424334355029316,101.21620046620126,81.05128205128233,73.756021756022,,,,,150.6075174825179,194.29982517482563,319.4391025641048,425.28234265734545,557.676864801868,673.3726689976721,755.1319930069963,756.9758158508192,780.6267482517518,794.948135198139,834.4108391608429,875.6608391608432,885.5367132867175,903.0766317016355,928.9487179487215,905.2371794871837,901.7546620046659,921.0967365967408,932.3709207459248,961.4187062937107,971.9731934731976,934.2972027972074,943.9064685314729,910.3569347319371,960.9029720279748,966.6436480186507,983.1867715617741,1029.8953962704004,1053.1089743589787,1089.4393939393985,1103.0664335664364,1132.0958624708674,1146.098776223781,1211.5180652680688,1221.4373543123577,1234.4542540792572,1192.1174242424274,1175.5069930069972,1107.5364219114258,1062.8843240093288,942.4865967366006,871.0728438228474,817.3157051282085,798.7287296037333
