Parameter,Mean,Median,StdDev,SEM,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15,Frame16,Frame17,Frame18,Frame19,Frame20,Frame21,Frame22,Frame23,Frame24,Frame25,Frame26,Frame27,Frame28,Frame29,Frame30,Frame31,Frame32,Frame33
Ch1-Ch2 Shift,3.393939393939394,0.0,21.329932580182124,3.7130646652511743,2.0,-4.0,-2.0,19.0,29.0,-33.0,-23.0,10.0,-4.0,1.0,5.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,-1.0,-1.0,-2.0,-2.0,-3.0,-2.0,-2.0,-2.0,-2.0,-1.0,111.0,1.0,2.0,3.0
Ch 1 Peak Width,34.444439689619685,38.83573459163641,10.727242302637803,1.8673731949119914,14.034934355746794,7.42289871203927,7.283743872781265,22.728902203246015,,,,,13.000555527068855,29.416238472213365,36.37367926476885,43.95876574264064,41.061988902541444,37.87257290949714,36.47929115474504,33.42503474474353,32.80555703418305,32.43809696446333,35.00868559117919,38.83573459163641,38.35294300743335,38.97998404071167,41.45114102210246,40.44498959090548,41.87918284435721,40.65791413169621,41.17743354538716,41.44266807148484,44.341466337720966,43.45735738018178,42.686950558061724,38.867688485863276,43.00235193957069
Ch 1 Peak Max,1566.2019794450355,1765.758646925906,384.31224882663753,66.90017543080396,705.1501350242647,734.9655493431757,718.7555242823347,801.3936909589635,,,,,1065.657785040658,1207.3802904123481,1361.0063536567109,1452.001455291673,1541.8441473488176,1614.472772975113,1711.0720715009857,1765.758646925906,1697.4779295857475,1808.8365723459065,1778.9392481385587,1804.582112892729,1803.3324121919795,1868.9426702323076,1839.3142740234916,1831.7941532050022,1863.3185665452668,1876.2260987738944,1860.7143162242332,1877.2334846583203,1776.298647221734,1735.0842965848888,1699.7597577894876,1779.2300589421898,1839.3143817893333
Ch 1 Peak Min,785.9533152315094,771.1305694866344,107.5667927894758,18.724975147464207,616.3217067976233,626.8499508563647,617.1951562423624,545.8668688861027,,,,,800.9971547704693,926.820466635157,899.6712438472396,898.5924303401043,946.541920006956,915.1839671594926,939.870267585304,923.1226601303827,908.2376549247181,896.1149989827148,849.8428375561253,771.4713514923303,788.5867578420026,807.3623875477044,747.7714988326916,746.3913747480178,700.4785183736274,717.0591364303525,716.046766903997,695.5668148220634,755.8512215575195,735.1618636910052,771.1305694866344,760.3976739180744,768.1409213466366
Ch 1 Peak Amp,780.2486642135259,928.6291883028532,355.2801976513229,61.84634401461932,88.82842822664145,108.115598486811,101.56036803997233,255.5268220728608,,,,,264.6606302701887,280.5598237771911,461.3351098094713,553.4090249515687,595.3022273418616,699.2888058156204,771.2018039156817,842.6359867955234,789.2402746610294,912.7215733631916,929.0964105824334,1033.1107614003986,1014.7456543499769,1061.5802826846032,1091.5427751908,1085.4027784569844,1162.8400481716394,1159.1669623435419,1144.6675493202363,1181.666669836257,1020.4474256642145,999.9224328938835,928.6291883028532,1018.8323850241154,1071.1734604426968
Ch 1 Peak Rel Amp,0.9964067583193467,1.0932567405688984,0.48843121202642314,0.08502496048516019,0.14412672350644523,0.1724744467780686,0.16455146644101537,0.46811198231226137,,,,,0.33041394553521086,0.3027121582627216,0.5127818777853526,0.615862104182328,0.6289232571310595,0.7640964340601836,0.8205406964272187,0.9128104239977262,0.8689799089275239,1.018531744697197,1.0932567405688984,1.3391433906158074,1.2867901270963091,1.3148745830345951,1.4597277067857661,1.4542005912426534,1.6600652520672927,1.6165569943283624,1.5985932794159325,1.6988542935857933,1.350063870455172,1.3601391506811884,1.2042437753713622,1.33986783491119,1.394501231056419
Ch 2 Peak Width,31.795709879645113,32.96582639904487,7.570774139864678,1.3179026160376577,9.099529693074757,31.9396017742096,23.05662039225618,25.183909223628234,,54.415899305643386,,,,18.04361869377584,,,,34.111711199548935,35.50590588592203,34.90367723472015,29.286651862627295,29.827417172378787,34.608200435788376,30.927458149807123,33.16190791661796,29.438310847491437,34.101095215530165,30.83919442143541,33.0060283712953,32.925624426794435,34.389040394301546,33.28087323112482,32.00000571421857,36.16160969308389,32.48898516992885,35.035375497124946,38.950204948444934
Ch 2 Peak Max,1602.3236176076052,1769.714884938088,411.5068835615301,71.63415370002545,960.3812322314706,938.9000402386234,952.254628346708,883.8441354251426,,1000.1165806049312,,,,1040.6647209951461,,,,1305.7355287378668,1332.255028921703,1408.4666919025974,1461.8713781470274,1566.0300221448324,1657.283100867026,1730.8582877668055,1808.5714821093707,1878.8039514444044,1862.5483563747068,1914.507846681517,1997.6406031808237,1969.7151836336093,1947.7623716394219,2094.9606982200335,2035.9120801282918,2021.389437830591,1999.4631712498954,1963.0900988849812,1927.3874000902078
Ch 2 Peak Min,811.4326648916673,815.5033986992071,89.85591816124845,15.64190760725715,816.7763694261407,819.7736641110812,786.2511763683103,583.964266114619,,812.3144389927652,,,,865.2730365335258,,,,939.2177956723419,943.6590252534331,912.188736929998,926.271057996437,988.8768236425636,837.1695731748187,882.9091629039189,836.996543418168,837.0662343354659,707.7700688976927,839.6289042477865,814.2304279722734,771.8378590459015,787.4612976486524,731.8429321908354,797.5315252821124,719.2580299136246,688.0305581063194,718.0209926049079,732.9287863996528
Ch 2 Peak Amp,790.8909527159382,909.7620317770446,437.7410838905358,76.20094179917095,143.60486280532984,119.12637612754224,166.00345197839772,299.87986931052353,,187.802141612166,,,,175.39168446162034,,,,366.5177330655249,388.59600366826976,496.27795497259945,535.6003201505904,577.1531985022688,820.1135276922073,847.9491248628866,971.5749386912026,1041.7377171089386,1154.7782874770141,1074.8789424337306,1183.4101752085503,1197.8773245877078,1160.3010739907695,1363.117766029198,1238.3805548461794,1302.1314079169665,1311.432613143576,1245.0691062800734,1194.458613690555
