Parameter,Mean,Median,StdDev,SEM,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15,Frame16,Frame17,Frame18,Frame19,Frame20,Frame21,Frame22,Frame23,Frame24,Frame25,Frame26,Frame27,Frame28,Frame29,Frame30,Frame31,Frame32,Frame33,Frame34,Frame35,Frame36,Frame37,Frame38,Frame39,Frame40,Frame41,Frame42,Frame43,Frame44,Frame45,Frame46,Frame47,Frame48,Frame49,Frame50,Frame51
Ch1-Ch2 Shift,14.3,15.0,10.05236290630218,1.4076123575116866,-11.0,5.0,-5.0,-1.0,,-6.0,61.0,2.0,0.0,8.0,10.0,10.0,12.0,12.0,14.0,13.0,18.0,19.0,18.0,20.0,20.0,21.0,21.0,22.0,22.0,22.0,22.0,20.0,20.0,20.0,19.0,19.0,19.0,17.0,17.0,16.0,16.0,16.0,15.0,15.0,15.0,14.0,13.0,13.0,12.0,12.0,12.0,11.0,12.0,11.0,12.0
Ch 1 Peak Width,25.0606873398968,22.70386996306933,8.507306000985952,1.19126111619126,15.751673763910034,9.281725831326312,9.479889731911676,26.097166650661805,30.17083191822643,33.134607724261485,,46.376562950346184,34.654443726978926,37.52349659377862,33.34091438935263,39.3832608919533,38.45744003325089,36.24473648054108,35.27655834337793,44.64423638891152,39.576825371619194,27.905609569824747,29.007851891712406,26.203523814960946,22.609614663094973,23.774565773012938,22.798125263043687,22.272011785795392,22.878656528233314,22.575549817849456,21.28172464751148,20.820389637765224,19.780776059718292,19.747271460020322,18.443571262078336,18.086082251986767,17.740490796127375,16.847615625592795,18.105614165579674,16.50538895976392,17.629590961057026,19.08919618378765,18.89595226839149,18.492325742090163,18.20234918471798,17.53297681735191,18.92184120912846,18.546050777370503,20.303509829393747,23.49494595406383,26.41369998928645,29.038872387043426,26.4464085009315,30.438226580123498,32.809615846022425
Ch 1 Peak Max,1394.928427198295,1466.9152418633853,429.6070437798461,60.157018736306775,553.9652127635841,545.6252883566433,536.5543464348855,605.5687281940229,673.257894828994,690.1739277298757,,784.2612979052417,819.5613921173408,891.1872312268631,973.4810283819661,1015.3935324797851,1087.411068880189,1196.3435399962273,1238.0619244564532,1187.169803346966,1266.8014163812602,1343.5470674107114,1366.3542466986598,1412.3480237495469,1535.9883671754385,1521.4824599772237,1562.6482242181628,1632.829093788893,1658.1191635136947,1686.9730387673371,1739.806096950629,1746.7233551219663,1817.0725828604718,1819.7033449370383,1865.2734442023586,1895.6578676007684,1917.2166313786465,1969.75913504178,1909.6655721038112,1968.970497063165,1893.9505339691923,1854.6179759763777,1819.2274645625564,1807.5510121838893,1737.5748038329718,1722.0828218229246,1647.1761871901822,1697.876050716969,1554.836945451173,1406.8536130838074,1323.3797058505756,1286.3880211776552,1271.9363589876482,1160.490558263292,1127.5234608049354
Ch 1 Peak Min,529.1431629342572,524.0546948626802,64.3027051926519,9.004179743039494,471.7971729125601,463.6957192207792,453.7337884855393,457.0829107221881,520.0188691348394,574.3438680481238,,572.023199540683,625.4447549127034,612.7612706619119,658.6001438236322,645.4857862287935,645.8738882685564,596.4812845145011,643.202793127618,576.3149972922708,583.2622341398574,609.4747627189387,557.456093116932,581.7858620271215,577.0169095775185,594.5615048639528,586.0353476489846,544.6527141597085,537.803344544604,564.7287406972725,543.6415640174391,503.1593363254208,467.2394486071669,518.4729734135337,560.719818168539,528.090520590521,491.384432907161,514.9356053814124,548.2877990200275,542.4066204450849,518.2868002993323,489.93735227476736,502.56186121570795,486.9861984255949,502.23439070642144,436.00306211961447,461.7048716197926,416.42106393563495,457.0850950180811,465.90153220689615,453.3931572614581,444.60765490660833,465.8251366392417,442.69148299684684,441.5424078209651
Ch 1 Peak Amp,865.7852642640378,933.9365179950911,443.02384617815756,62.03574685527625,82.16803985102399,81.92956913586409,82.82055794934615,148.48581747183482,153.23902569415463,115.83005968175189,,212.2380983645587,194.1166372046374,278.4259605649512,314.88088455833395,369.90774625099164,441.5371806116327,599.8622554817262,594.8591313288352,610.8548060546952,683.5391822414028,734.0723046917727,808.8981535817278,830.5621617224253,958.97145759792,926.9209551132709,976.6128765691782,1088.1763796291846,1120.3158189690907,1122.2442980700646,1196.1645329331898,1243.5640187965455,1349.833134253305,1301.2303715235046,1304.5536260338197,1367.5673470102474,1425.8321984714855,1454.8235296603675,1361.3777730837837,1426.5638766180803,1375.66373366986,1364.6806237016103,1316.6656033468485,1320.5648137582943,1235.3404131265504,1286.0797597033102,1185.4713155703896,1281.4549867813341,1097.751850433092,940.9520808769113,869.9865485891175,841.7803662710469,806.1112223484065,717.7990752664452,685.9810529839704
Ch 1 Peak Rel Amp,1.6843503646599185,1.8119061617545336,0.9201207529488176,0.12884267652550857,0.17415966980847614,0.17668821543908841,0.18253116706556596,0.32485532490643365,0.2946797410430509,0.20167371173543475,,0.3710305780167297,0.3103657608124498,0.45437917488517543,0.478106310044561,0.5730687710602465,0.6836275449922512,1.0056681928754512,0.9248391606577012,1.0599321706440132,1.1719242944803805,1.2044342925980884,1.4510526722542312,1.4276080185731745,1.6619468886970086,1.5589992751470991,1.6664743525916739,1.9979270300856313,2.083132859498561,1.9872271715521785,2.2002816048384757,2.471511366316503,2.8889537008853496,2.509736164175416,2.326569498283191,2.5896457021819046,2.9016633474444498,2.8252533218843565,2.4829620055690063,2.6300635406099557,2.6542519178095154,2.785418620085672,2.619907527725654,2.711708910904709,2.4596890137072718,2.9497035031154963,2.5675954239153196,3.0773058756206555,2.4016356306469975,2.0196372319699867,1.918834756668863,1.893310555905445,1.730501767603622,1.6214431558683453,1.5536017397951032
Ch 2 Peak Width,28.94296143935825,29.437379071350737,4.7512209417000735,0.6653040059479418,,,10.635167293943327,16.26350677840145,,,,16.973081175078573,35.67982224260312,36.112559779273454,33.105392436363346,26.797156841850892,27.19265551890912,25.56003563514274,26.10467973267943,28.201061941687797,29.707301564440755,25.809478151841148,26.250381696042453,26.47891753941947,28.92753179165979,27.38938666192982,32.06392316994905,29.407136911182576,31.711209191621833,31.621321308961797,31.194356156663673,30.943658612949022,31.63679430057111,31.25912454168035,31.95922379061905,27.704327313769966,30.476676821536998,27.918256211311693,30.45740261819212,27.91848781848401,27.59650002966456,29.229644708816146,30.780469433601695,28.400711160780716,27.988154828173712,27.764355186264822,26.297554761277098,29.467621231518898,29.58678169868353,29.88671274702733,31.905319900193273,34.74436471727013,32.599023772421965,35.58706102477456,36.08193546125098
Ch 2 Peak Max,1825.3961333353054,1945.1398830816188,418.2773550135537,58.57054498253926,,,581.2907158670594,654.2440378623398,,,,840.0489973349382,888.58779127719,1119.561741073402,1234.863202583489,1428.146083541779,1565.286720682417,1704.734604577854,1751.8224871692332,1738.6354272508215,1798.6319701407215,1809.1045715055138,1872.2496588924432,1856.2804927525308,1863.5829022699754,1926.7842025237235,1839.4558566056335,1948.0047032092593,1943.3354608785953,2006.9000355597202,2023.618141247523,2082.4388496766237,2018.8027160614683,2016.4326720072752,2085.5300686320616,2061.0130789093605,2003.3441094647496,2036.5736321435734,2182.2672215551124,2179.575950920368,2233.8123443508184,2251.3541153873443,2188.0921579068554,2224.3403692051834,2245.8274436433067,2163.11645714211,2175.088992398445,2273.1980555057603,2115.619471416103,2076.2781108859313,1946.9443052846423,1861.25336775804,1831.900240375192,1670.5975280870475,1649.6510699004962
Ch 2 Peak Min,644.2914211516315,669.7928593105382,72.3824625253911,10.135572070720892,,,457.5885837485513,506.9452615932805,,,,670.136783782281,640.5699771608888,672.7394194771855,690.0559787704349,671.2853562521395,653.4816897684036,703.8544409488504,673.3214682235657,681.7945068399627,613.7034990391635,730.0666340048656,712.2788507572891,731.1351693825477,752.6715505421812,737.4051194208544,669.4489348387954,680.2593502715883,723.5187380499192,726.2170250107317,747.9473236338072,661.8193921463157,689.8409121095599,670.328907689048,664.3726266610902,691.5966501123839,664.5229211078572,611.3790353327099,688.541105876774,647.437800242582,677.6992191957265,675.980892844533,643.4527132843018,643.3401829544057,678.8151355464909,515.453795168833,502.62327038842477,541.7045720186775,573.3164057948472,538.7149032009179,570.0144137568411,574.9154768653634,546.1918327075668,572.7669210483928,546.1506254041226
Ch 2 Peak Amp,1181.1047121836732,1278.1769140813522,409.58424059990136,57.35326548437784,,,123.70213211850808,147.29877626905932,,,,169.91221355265725,248.01781411630122,446.8223215962164,544.8072238130542,756.8607272896395,911.8050309140133,1000.8801636290036,1078.5010189456675,1056.8409204108589,1184.928471101558,1079.0379375006482,1159.9708081351541,1125.145323369983,1110.9113517277942,1189.3790831028691,1170.006921766838,1267.745352937671,1219.8167228286761,1280.6830105489885,1275.6708176137158,1420.619457530308,1328.9618039519085,1346.1037643182271,1421.1574419709714,1369.4164287969766,1338.8211883568924,1425.1945968108635,1493.7261156783384,1532.1381506777861,1556.113125155092,1575.3732225428114,1544.6394446225536,1581.0001862507777,1567.0123080968158,1647.662661973277,1672.4657220100203,1731.4934834870828,1542.3030656212557,1537.5632076850134,1376.9298915278011,1286.3378908926766,1285.7084076676251,1097.8306070386548,1103.5004444963736
