Parameter,Mean,Median,StdDev,SEM,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15
Ch1-Ch2 Shift,5.2,6.0,5.217917847826531,1.3472605951007066,15.0,9.0,3.0,3.0,0.0,-8.0,-1.0,4.0,8.0,8.0,8.0,9.0,8.0,6.0,6.0
Ch 1 Peak Width,32.040782032136015,33.190422472028104,9.58938762572419,2.475969238317151,,11.637876045383067,14.974957238114518,,,,38.742143783882426,45.80175254548283,32.765526628060044,35.729208595387014,33.04864546161962,35.69670280552531,32.522885957654395,33.190422472028104,38.33848082035888
Ch 1 Peak Max,977.0242318095733,1072.4965404749846,196.9960693830798,50.864166399265926,,627.0217931511672,616.688550377365,,,,830.8347279501171,886.6962163926082,1023.9023418091074,1072.4965404749846,1131.6080262006897,1142.4190521556552,1167.3470654787734,1162.486952484628,1085.7652834302078
Ch 1 Peak Min,577.4493826076545,577.6005882445309,25.65872593860928,6.625054549675601,,538.2492171128564,540.5342491618744,,,,638.0119805731698,581.1449550190823,596.7971664224586,584.9520497093368,567.9349950101697,576.6484599748035,567.0431697284874,577.6005882445309,583.0263777274297
Ch 1 Peak Amp,399.5748492019186,487.54449076564777,190.95618627445327,49.30467528641592,,88.77257603831083,76.15430121549059,,,,192.8227473769473,305.5512613735259,427.10517538664874,487.54449076564777,563.67303119052,565.7705921808517,600.303895750286,584.8863642400972,502.7389057027781
Ch 1 Peak Rel Amp,0.6900134757563996,0.833477703014989,0.3332682666928619,0.08604949644805775,,0.16492838859010844,0.1408870970406994,,,,0.3022243362949414,0.5257746087867061,0.7156622038723137,0.833477703014989,0.992495683736528,0.9811360498657586,1.0586564265252052,1.0126138652623426,0.8622918703308021
Ch 2 Peak Width,24.88129614857011,27.43359192173227,8.955997431083407,2.312428593284163,7.899437006341486,8.680236193759086,16.055879087740294,,18.900883718953224,36.77922666560285,37.05491896672149,34.790052303741014,29.456999849842553,27.561937358272402,28.849363430605365,28.65647431833603,27.305246485192136,23.747566269112873,22.599924425760705
Ch 2 Peak Max,1294.1430807979539,1419.6751258324764,409.9485103423465,105.84825022389646,699.4811959170972,705.5296423985274,712.8255730607168,,847.0633306950369,968.4092436528385,1206.380176307339,1326.6717754316896,1512.6784762332632,1626.7124286617384,1624.4793616337997,1723.6185253708659,1728.3848479716871,1732.6601660016672,1703.1083878350873
Ch 2 Peak Min,707.372622181628,730.0209530794469,46.24490056814124,11.94038198316193,627.2091636887709,605.120696988416,631.0402881242077,,745.3819912712728,738.5249432644578,741.4835788402222,728.9050847441006,731.1368214147933,740.1814503591933,732.4145285561383,724.1648157807871,713.085626376128,731.2857172828077,713.2820038514967
Ch 2 Peak Amp,586.7704586163258,689.6541727530295,382.0257352581093,98.63862069848673,72.27203222832634,100.40894541011141,81.78528493650913,,101.68133942376414,229.88430038838078,464.89659746711686,597.7666906875891,781.5416548184699,886.5309783025451,892.0648330776614,999.4537095900788,1015.2992215955592,1001.3744487188595,989.8263839835906
Ch 2 Peak Rel Amp,0.8107973245029301,0.9445144374292613,0.5229557213389731,0.13502658663664863,0.11522795968617039,0.16593209571219406,0.12960390402270375,,0.1364150739010254,0.3112749305016523,0.6269816496735858,0.8200885179686314,1.0689403568898912,1.1977211504994238,1.2179780688352173,1.380146739817065,1.4238110880950838,1.3693340715576992,1.3877069358806782
