Parameter,Mean,Median,StdDev,SEM,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15,Frame16,Frame17,Frame18,Frame19,Frame20,Frame21
Ch1-Ch2 Shift,13.25,3.5,33.751851801049376,7.365257891582875,0.0,6.0,-1.0,0.0,1.0,-19.0,-3.0,115.0,111.0,1.0,2.0,3.0,3.0,4.0,5.0,6.0,8.0,7.0,8.0,8.0,
Ch 1 Peak Width,38.87765523006636,40.35348172393901,13.000193580741339,2.8368748158488666,10.26472330777026,13.14171220373554,13.761277525850355,,,45.50513568457805,49.996168162142226,56.38326431604472,50.82760937180301,53.72586776218254,45.65539026366473,44.55581610016723,40.571949313510636,40.135014134367395,38.53542702980227,38.809894311369604,37.63099899896835,38.82227328162911,39.807916026681035,41.66735634692738,
Ch 1 Peak Max,1703.0321488148152,2010.0477247219783,696.8971338012428,152.0754222496173,586.7714580809019,588.5976670883749,590.2037115018887,,,810.2685585156493,972.1912962932829,1181.4111352905124,1561.6146168215018,1695.602670057225,1998.3231342170848,2021.7723152268718,2236.633250048764,2331.8758908794,2384.2502793761664,2329.9270570144827,2426.244962475162,2442.12917819038,2281.248834498847,2215.512663090181,
Ch 1 Peak Min,624.4935628177841,623.4111864566444,49.47069878591612,10.795391517562885,535.3951898701338,542.8327048803765,547.9845474750323,,,690.4672898973636,703.8115202590734,687.1694450330817,665.70665881214,646.5594435780952,658.0690223615668,673.4730197498302,621.485499456948,633.5833328805393,625.3368734563408,613.9511674331054,580.8938820395729,608.2299155562594,605.4243335875037,600.510284393152,
Ch 1 Peak Amp,1078.538585997031,1344.27670366628,692.5181314776174,151.11984560121726,51.3762682107681,45.76496220799845,42.21916402685645,,,119.80126861828569,268.3797760342095,494.2416902574307,895.9079580093619,1049.0432264791298,1340.254111855518,1348.2992954770416,1615.1477505918158,1698.2925579988605,1758.9134059198257,1715.9758895813773,1845.3510804355892,1833.8992626341208,1675.8245009113432,1615.002378697029,
Ch 1 Peak Rel Amp,1.7263694872749074,2.019328041532619,1.140374008861262,0.24885001029366546,0.09595952519339968,0.08430767305754658,0.07704444262414183,,,0.1735075221826857,0.3813233632996214,0.7192428211554676,1.34579990473279,1.62250081860017,2.0366467138140627,2.0020093692511747,2.598850257975651,2.680456492246569,2.8127453866553864,2.794971295120708,3.1767438726611967,3.0151415044373806,2.7680164273891568,2.689383380551219,
Ch 2 Peak Width,40.541397876422444,40.84633246143504,18.36430054177595,4.00741891988604,15.6495489300781,9.317313875118819,7.836184580513162,,,72.63096903957035,88.30104056954444,46.58478796392201,45.837421856616274,42.39665793011925,39.74634506243602,37.027092227340496,38.830896204953,40.354968991613895,41.26575215513847,40.81965346107446,38.081507083645526,40.87301146179563,42.07566921758328,42.11634116454077,
Ch 2 Peak Max,2058.6344608171157,2457.0266239738985,786.3272473821098,171.59067295879927,632.3271247982822,657.3615592298612,647.0202430738597,,,1140.4247118244848,1363.6155586406244,1707.9538390902123,2142.798446481442,2266.616996575051,2429.545269049361,2609.000950271361,2778.786124046046,2777.5144792615806,2712.0718084255523,2643.3867956053414,2737.4968091349365,2770.243179207064,2554.7484210945895,2484.507978898436,
Ch 2 Peak Min,762.698272158947,785.7845051057484,105.44204727952535,23.009341099501786,555.8090652656533,577.3427485059219,566.258322119048,,,815.5669157959373,847.957190849382,830.645228056068,858.0897761911756,912.1588407383911,881.379726075535,870.8489311937747,803.8790884609648,804.3946860572755,767.689921750532,765.2970325452884,705.9906636142098,735.6937258545652,699.4146714892668,730.152364298056,
Ch 2 Peak Amp,1295.936188658169,1643.1587810257063,734.8671705929273,160.36116357048172,76.51805953262885,80.01881072393928,80.76192095481167,,,324.85779602854745,515.6583677912424,877.3086110341443,1284.7086702902666,1354.45815583666,1548.1655429738262,1738.1520190775864,1974.9070355850813,1973.119793204305,1944.3818866750203,1878.089763060053,2031.5061455207267,2034.5494533524986,1855.3337496053227,1754.3556146003798,
Ch 2 Peak Rel Amp,1.656163383053035,1.876226656704749,0.9739341584836946,0.21252985729307847,0.13766968607476102,0.13859845114711528,0.1426238128432002,,,0.3983214494564294,0.6081183971972897,1.0561772720795388,1.497172796991866,1.4848928666198404,1.7565250222707607,1.9959282911387373,2.4567214944800493,2.452924947671537,2.5327698483279883,2.454066438509171,2.8775255116275136,2.76548430665113,2.652694925107522,2.4027253767601757,
