Parameter,Mean,Median,StdDev,SEM,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15,Frame16,Frame17,Frame18,Frame19,Frame20,Frame21,Frame22,Frame23,Frame24,Frame25,Frame26,Frame27,Frame28,Frame29,Frame30,Frame31,Frame32,Frame33,Frame34,Frame35,Frame36,Frame37,Frame38,Frame39,Frame40
Ch1-Ch2 Shift,7.725,5.5,9.224932249073701,1.4585898583906303,0.0,1.0,-2.0,0.0,43.0,28.0,36.0,24.0,7.0,12.0,7.0,7.0,6.0,7.0,4.0,5.0,4.0,1.0,9.0,6.0,7.0,13.0,8.0,10.0,7.0,7.0,3.0,6.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,10.0
Ch 1 Peak Width,43.43904319061801,46.25769843368961,15.301459659199777,2.4193732024127557,9.491947099791739,8.550230926298042,7.711532088078876,,,,,,,,,37.324931844294056,25.42062564747358,30.219492517284138,29.746955547683356,26.66890633481455,37.084508887138384,42.54610920475537,43.2349981916492,37.88574146572003,49.22639326720797,62.58972790394835,53.3597085968227,56.87879206282443,71.71110846903139,45.76988955849117,52.79188554212915,63.63620397563116,39.34329838831138,45.29311771990609,48.566044979826,53.40615978885269,50.69529092509165,45.71094323103651,47.84633952469629,46.74550730888805,56.288802918424565,53.596371600302405,56.57597116546518,54.13184541790787
Ch 1 Peak Max,1115.2694194816213,1115.195056966479,148.29728770729568,23.447859999017197,752.220853515535,744.7002700485253,737.5179694762097,,,,,,,,,991.6134567539029,1112.6462125136422,1065.3855099618563,1054.758447996799,1109.6612032101602,1081.1197589426088,1015.4727366003644,1090.7108722452604,1144.7777691746287,1091.9395750584622,1078.974630049228,1087.2953331956887,1080.9374755866656,1096.4264818105205,1150.7132707144426,1148.8439367979058,1154.2897988008774,1117.7439014193155,1217.9520801222502,1214.4010679383707,1172.4168136749786,1318.508128472588,1329.337509637051,1353.441120154997,1292.4223039974859,1277.5931776071707,1231.2309957805364,1207.4559755404807,1166.1127866133756
Ch 1 Peak Min,726.167722628614,699.6084211911752,57.7233535194643,9.126863565230186,646.7652692677002,668.0823004415109,673.0137042229153,,,,,,,,,827.9272136824598,878.2398649546117,820.7371732989455,792.0503082344617,767.7729764623746,757.8256442254152,789.0402168463071,812.2250808847591,811.3067229056454,767.6082293559026,722.2594458118941,721.8906208399255,739.5638399414627,696.8177072862425,717.0302794470927,680.5975851395436,714.53906391028,700.0582853216918,691.0217034972297,695.8660342290916,699.1585570606587,671.6123610590423,667.5116702558464,686.8551557654159,689.8746311963099,698.2920455828421,677.0373811632589,669.2082507732275,685.577801051581
Ch 1 Peak Amp,389.10169685300747,382.5067434400206,164.2682369275711,25.973088795565225,105.45558424783485,76.6179696070144,64.50426525329442,,,,,,,,,163.6862430714432,234.40634755903056,244.64833666291076,262.7081397623374,341.88822674778567,323.29411471719357,226.43251975405735,278.48579136050125,333.4710462689833,324.3313457025596,356.7151842373338,365.4047123557632,341.37363564520297,399.60877452427803,433.68299126734996,468.2463516583622,439.7507348905974,417.6856160976238,526.9303766250205,518.5350337092791,473.25825661431986,646.8957674135456,661.8258393812046,666.585964389581,602.547672801176,579.3011320243286,554.1936146172775,538.2477247672532,480.53498556179466
Ch 1 Peak Rel Amp,0.5462452590501609,0.5398270860516969,0.2537442220163188,0.04012048423395052,0.1630507840460217,0.11468342980555002,0.09584391053043007,,,,,,,,,0.1977060789479289,0.26690469985798804,0.29808365530654474,0.33168112811916345,0.4452985937628142,0.4266075147768815,0.28697208953312825,0.34286775662867475,0.41102956114387557,0.4225219757931789,0.49388787686445434,0.5061773928169504,0.46158778621764834,0.5734767792864435,0.604832185890066,0.6879929665961967,0.61543274133129,0.5966440578668222,0.762538099683772,0.7451650291909032,0.676896895325076,0.9631981257662948,0.9914820502352227,0.9704898606268051,0.8734161912234684,0.8295972089167999,0.8185568921838317,0.804305272903229,0.7009196984276924
Ch 2 Peak Width,10.961267959089513,10.961267959089513,1.7811758490540814,0.28162862981475834,12.742443808143594,9.180092110035432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ch 2 Peak Max,918.909373624632,918.909373624632,24.408715822833017,3.859356837997164,894.5006578017991,943.3180894474651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ch 2 Peak Min,803.840278664511,803.840278664511,12.701212429869315,2.0082380162014335,816.5414910943803,791.1390662346416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ch 2 Peak Amp,115.06909496012116,115.06909496012116,37.10992825270233,5.867594854198598,77.95916670741883,152.1790232128235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ch 2 Peak Rel Amp,0.1439145829328375,0.1439145829328375,0.04843974477986983,0.007658996139082011,0.09547483815296764,0.1923543277127073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
